code,name
10551,Κάμερα βυθού (fundus)
10558,Κάμερα παλμογράφου
10574,"Οφθαλμικός σωληνίσκος, κυκλοδιαλυσίας"
10575,Σωληνίσκος δακρυγόνου πόρου
10598,"Τυποποιημένη συσκευασία καθετηριασμού, καρδιακή"
10614,"Μονάδα μέτρησης καρδιακής απόδοσης, μεθόδου άμεσου Fick"
10615,"Μονάδα μέτρησης καρδιακής απόδοσης, θερμικής διάλυσης"
10642,Τροχήλατο θαλάμου απομόνωσης
10647,"Τροχήλατο εξοπλισμένο, ανάνηψης"
10667,Μπότα γύψου
10668,Υπόδημα γύψου
10669,Καλτσοδέτα γύψου
10671,"Κάλτσα, εκμαγειωμένου δακτύλου ποδιού"
10672,Πτέρνα βαδίσματος γύψου
10676,Τυποποιημένη συσκευασία συντήρησης καθετήρα
10678,Περίβλημα εισαγωγής καθετήρα
10688,"Καθετήρας, αγγειογραφίας, μιας χρήσεως"
10689,"Καθετήρας, πίεσης αρτηριακού αίματος"
10691,"Καθετήρας, ενδαγγειακός, μικροκυκλοφορίας"
10695,"Καθετήρας, βαρθολινείων αδένων"
10696,"Καθετήρας, χοληφόρου, παροχέτευσης"
10704,"Καθετήρας, εγκεφαλονωτιαίου υγρού"
10714,"Καθετήρας, εμβολεκτομής/θρομβεκτομής"
10718,"Καθετήρας, ευσταχιανής σάλπιγγας, μιας χρήσεως"
10729,"Καθετήρας, κεντρικής φλέβας"
10730,"Καθετήρας, έκπλυσης, μονού αυλού"
10735,"Καθετήρας, νεφροστομίας"
10737,"Ουρητηρικός καθετήρας, διαστολής"
10739,"Καθετήρας, διάχυσης, αγγειακός"
10741,"Καθετήρας, καρδιακός, παροχέτευσης περικαρδίου"
10747,"Καθετήρας, καρδιακός, μπαλόνι, διαφραγματικός"
10749,"Καθετήρας, αναρρόφησης, τραχείας"
10759,Καθετήρας ομφάλιος
10760,"Καθετήρας, καρδιακός, εφαρμογής αποφρακτικού μέσου"
10789,Καρέκλα / ανάκλιντρο αιμοδότη
10790,"Καρέκλα καρδιοπνευμονικής αποκατάστασης, μη τροφοδοτούμενο"
10795,Καρέκλα θεραπευτικής επίπλευσης
10796,"Καρέκλα, υποβοηθητική ατόμου με ειδικές ανάγκες, ηλεκτροτροφοδοτούμενη"
10797,Καρέκλα παιδιατρική
10816,"Μέσο συγκράτησης, θώρακα"
10817,Σύστημα παροχέτευσης υπεζωκότου
10825,Σμίλη οστού
10827,Σμίλη μαστοειδής
10828,Σμίλη ρινική
10847,"Σύστημα κυκλοφοριακής υποβοήθησης, κοιλιακό"
10849,"Σύστημα κυκλοφοριακής υποβοήθησης, φλεβικής επιστροφής"
10869,"Λαβίδα περιτομής, επαναχρησιμοποιήσιμη"
10872,Λαβίδα ανοιχτού αρτηριακού πόρου (PDA)
10873,Λαβίδα περιφερικής αγγείωσης
10876,"Λαβίδα ομφάλιου λώρου, επαναχρησιμοποιήσιμη"
10895,Αφαιρέτης χειρουργικού συνδετήρα
10904,Αγκτήρας χειρουργικού εργαλείου
10906,"Ελκτήρας ίριδας, επαναχρησιμοποιήσιμος"
10907,"Κλιπ μύτης, μίας χρήσης"
10908,Κλιπ πέους
10943,Συλλέκτης δειγμάτων πτυέλου
10944,Περιέκτης δείγματος ούρων
10960,Κολποσκόπιο
10969,"Σύστημα συμπίεσης, διαλείπων"
10980,Εργαστηριακός Η/Υ καρδιακού καθετηριασμού
10986,"Ποδιά, αγώγιμη"
10995,"Καθαριστής φακών επαφής, ηλεκτρικός"
11010,"Ελεγκτής / Μόνιτορ έγχυσης, βαρυτικού πεδίου, τροφοδοτούμενο με ηλεκτροφόρο καλώδιο"
11028,Βαμβακερό τολύπιο
11049,Σκέπασμα βρεφικού λίκνου
11052,"Κρικοθυρεοτόμος, μιας χρήσης"
11062,Προστατευτική επένδυση πατερίτσας
11067,"Μονάδα κρυοχειρουργικής, γενικής χρήσεως"
11068,"Mονάδα κρυοχειρουργικής, οφθαλμική"
11090,"Παραπέτασμα θαλαμίσκου, επαναχρησιμοποιήσιμο"
11095,Υποπόδιο μαξιλάρι
11100,Μαξιλάρι αναπηρικού αμαξιδίου
11111,Κυστωμετρητής
11130,Επίθεμα ηλεκτροδίου απινιδωτή
11155,"Ελαστικός απομονωτήρας, λάτεξ"
11158,Οδοντιατρικό νήμα
11159,"Υλικό οδοντιατρικής έμφραξης, χρυσού"
11168,Οδοντόπαστα
11169,"Δίσκοι, οδοντοστοιχίας"
11170,Επίστρωμα οδοντοστοιχίας
11171,"Τυποποιημένη συσκευασία επιδιόρθωσης οδοντοστοιχίας, επαγγελματικό"
11172,"Οδοντοστοιχία, προδιαμορφωμένη"
11177,Μονάδα δερματικής εκτριβής
11179,"Δερματόμος, τροφοδοτούμενος με ηλεκτροφόρο καλώδιο"
11182,Δερμουργόμετρο
11202,Ετικέττα/ ένδειξη κατάστασης συσκευής
11226,Σύστημα περιτοναϊκής αιμοκάθαρσης
11239,"Πάνα, ενήλικα"
11245,"Θεραπευτικό σύστημα διαθερμίας, μικροκυμάτων"
11246,"Γεννήτρια θεραπευτικού συστήματος διαθερμίας, ραδιοκυμάτων"
11248,Σύστημα υπερήχων φυσιοθεραπείας
11255,Διαστολέας καρδιακός
11256,Διαστολέας κοινού χοληδόχου πόρου
11260,Διαστολέας ρινικός
11261,Διαστολέας πνευμονικός
11262,Διαστολέας ορθικός
11263,Διαστολέας τραχειακός
11264,Διαστολέας Φαλοπιανού αγωγού
11265,Διαστολέας ουροδόχου πόρου
11266,"Διαστολέας τραχηλικός, ενός μεγέθους"
11267,Διαστολέας κόλπου
11268,Διαστολέας αγγειακός
11289,Τυποποιημένη συσκευασία ανατομής
11290,Ανατόμος γενικής χρήσης
11291,Διαστολέας
11297,Τυποποιημένη συσκευασία συσκευής διακλυσμού
11301,"Σύστημα συλλογής, παροχέτευσης κλειστού τραύματος"
11305,"Παροχέτευση, κλειστού τραύματος"
11307,"Παροχέτευση, εν είδει Τ"
11308,"Παροχέτευση, θωρακική"
11313,"Βάζο, επιθεμάτων"
11321,"Επίθεμα, υγρού φραγμού, συθετικού πολυμερούς"
11322,"Επίθεμα, εγκαυμάτων"
11323,"Επίθεμα, αφρού"
11325,"Επίθεμα, μη κολλητικό"
11330,Τρυπάνι βιοψίας
11332,"Τρυπάνι, χειρουργικό, σωληνοειδές"
11334,"Τρυπάνι κρανίου, αυτόματο, επαναχρησιμοποιήσιμο"
11337,Τρυπάνι ονύχων δακτύλων
11339,Τρυπάνι χειρουργείου μέσου ωτός
11345,Οδηγός/εξολκέας
11346,"Οδηγός/εξαγωγέας, οστικού καρφιού/καρφίδας"
11347,"Οδηγός/εξαγωγέας, οστέινου πετάλου"
11371,Τυποποιημένη συσκευασία έκπλυσης  αυτιού
11387,Ηχοεγκεφαλογράφημα
11389,"Απεικονιστικό σύστημα υπερήχων, οφθαλμικό"
11391,Εικονόμετρο
11402,Ηλεκτροκαρδιοπεριμετρογράφος
11407,"Ηλεκτροκαρδιογράφος, γενικής χρήσεως"
11425,Γέλη ηλεκτροδίου
11434,Ηλεκτρόδιο άκρου καθετήρα
11436,Κυστεοσκοπικό ηλεκτρόδιο
11440,"Ηλεκτρόδιο, ηλεκτροεγκεφαλογράφου"
11441,Ηλεκτρόδιο ηλεκτρομυογράφου
11442,Ηλεκτρόδιο ηλεκτρονυσταγμογράφου
11444,"Ηλεκτρόδιο / ηλεκτρικός αγωγός θεραπευτικού συστήματος ηλεκτροσπασμών, μίας χρήσης"
11452,Ρινοφαρυγγικό ηλεκτρόδιο
11460,Ηλεκτρόδιο ηλεκτροαμφιβληστροειδογράφου
11461,Ηλεκτρόδιο συστήματος εφίδρωσης με ιοντοφόρηση
11467,Ηλεκτροεγκεφαλογράφος
11474,Ηλεκτρομυογράφος
11479,Ηλεκτρονυσταγμογράφος
11480,Ηλεκτροοφθαλμογράφος
11482,Ηλεκτροαμφιβλειστροειδογράφος
11484,Θεραπευτικό σύστημα ηλεκτροσπασμών
11487,Όργανο μέτρησης ηλεκτροστατικής τάσης
11490,"Γεννήτρια συστήματος ηλεκτροχειρουργικής διαθερμίας, γενικής χρήσης"
11500,"Ηλεκτρόδιο ηλεκτροχειρουργικού διαθερμικού συστήματος, επιστροφής, μίας χρήσης"
11507,Ανελκτήρας νευροχειρουργικός οστικών κρυμνών
11522,"Λεκάνη εμέτου, επαναχρησιμοποιήσιμη"
11531,Τυποποιημένη συσκευασία λήψης δείγματος από το ενδομήτριο
11582,Τυποποιημένη συσκευασία υποκλυσμού
11583,Ακρο σωλήνα υποκλυσμού
11585,Μονάδα θεραπείας ΩΡΛ
11588,Συναγερμός ενούρησης
11606,"Σταγονόμετρο, αιθέρα"
11614,Σύστημα διαγραμματικής καταγραφής προκλητών δυναμικών
11625,"Όργανο άσκησης, βραχίονα"
11627,"Όργανο άσκησης, θώρακα"
11628,"Όργανο άσκησης, δακτύλου"
11629,"Όργανο άσκησης, χεριού"
11634,"Όργανο άσκησης, αναπνευστικό"
11636,"Όργανο άσκησης, ώμου"
11638,Τραπέζιο ασκήσεως
11653,Οφθαλμικό κυπέλλιο
11655,Τυποποιημένη συσκευασία έκπλυσης ματιού
11661,Οφθαλμική επίδεση
11675,Σάκος εντερικής τροφοδότησης
11677,Σετ εντερικής τροφοδότησης
11700,Συσκευή κοιλιακής μαρμαρυγής
11702,Λίμα οστού
11703,Λίμα κάλου
11704,Νηματοειδές κηρίο
11711,Φίλτρο αέρος
11719,"Προστατευτικό κάλυμμα δακτύλου, εξεταστικό"
11744,Χρονόμετρο ροής αερίων
11751,"Επίθεμα, πολύ απορροφητικό, απαλό"
11772,"Υποπόδιο, αγώγιμο"
11775,Λαβίδα βιοψίας
11777,Λαβίδα επίδεσης
11782,"Λαβίδα χοληδόχου κύστης, αυτοσυγκρατούμενη"
11785,Λαβίδα σύσφιξης εντέρου/ιστού
11787,"Λαβίδα σύσφιξης πνεύμονα, αυτοσυγκρατούμενη"
11791,Λαβίδα σπόγγου/κομπρέσας
11792,"Λαβίδα, μεταφοράς από αποστειρωτή"
11798,Λαβίδα γενικής χρήσης
11799,"Δοχείο, λαβίδων"
11802,Τυποποιημένη συσκευασία εγκληματολογικών στοιχείων
11850,Μετρητής αερίων
11858,"Γαστροσκόπιο, άκαμπτο"
11880,"Γάντι, αυτοψίας"
11884,"Χειρουργικά γάντια, υποαλλεργικά"
11885,"Γάντι, γενικής χρήσης"
11894,Γωνιοσκόπιο
11902,"Ποδιά, χειρουργείου, επαναχρησιμοποιήσιμη"
11905,"Ποδιά, ασθενούς, επαναχρησιμοποιήσιμη"
11910,"Οστικό μόσχευμα, φυσικό"
11912,Μόσχευμα δέρματος
11937,Μετρητής γεύσης
11950,"Σφυρί επίκρουσης, χειροκίνητο"
11961,Προστατευτική προσωπίδα
11963,Φακός κεφαλής
11973,Θεμοανταλλάκτης συστήματος καρδιοπνευμονικής παράκαμψης
11977,"Προσομοιωτής, ήχου καρδιάς"
11989,"Σύστημα θερμοφόρας υπόστρωσης / επικάλυψης, ηλεκτρική"
11991,Αναβολέας φτέρνας
12009,"Αιχνευτής, (κολποκοιλιακού) δεμάτιου του His"
12030,Αγκιστρο παροχής αιθέρα
12032,Αγκιστρο απομάκρυνσης ενδοσαλπιγγικής συσκευής
12042,Φιάλη θέρμανσης/ ψύξης
12050,"Υγραντήρας, θερμαινόμενος"
12061,Υπερβαρικός θάλαμος
12082,Παγοκύστη
12094,Μέσο ακινητοποίησης αστραγάλου
12095,Μέσο ακινητοποίησης βραχίονα
12096,Μέσο ακινητοποίησης αγκώνα
12097,"Μέσο ακινητοποίησης βρέφους, επαναχρησιμοποιήσιμο"
12099,Μέσο ακινητοποίησης γόνατος
12101,"Μέσο ακινητοποίησης ώμου, επαναχρησιμοποιήσιμο"
12102,"Μέσο ακινητοποίησης καρπού, επαναχρησιμοποιήσιμο"
12103,Καρδιογράφος εμπέδησης
12132,"Εγχυτήρας φαρμακευτικής αγωγής / εμβολιασμού, σύριγγας"
12135,"Τυποποιημένη συσκευασία έκτακτης ανάγκης, για τσίμπημα εντόμου"
12143,Δίσκος ιατρικών εργαλείων
12144,"Υστεροσκοπική μονάδα διαστολής, αερίων"
12155,"Μπαλόνι, ενδομήτριο"
12159,Σετ ενδοφλέβιας χορήγησης με ογκομετρικός σωληνίσκο
12161,"Τυποποιημένη συσκευασία καθετηριασμού, ενδοφλέβια"
12170,Προέκταση σετ σωλήνωσης ενδοφλέβιας χορήγησης
12223,Επένδυση κάδου
12229,Κιναισθησιόμετρο
12234,"Λεπίδα, μαχαιριού"
12235,Χειρολαβή νυστεριού
12236,Συσκευή συγκράτησης μαχαιριού
12245,"Μαχαίρι, αυτιού"
12250,"Μαχαίρι, κεριού παραφίνης"
12253,Μαχαίρι λήψης δερματικού μοσχεύματος
12255,"Μαχαίρι, αμυγδαλών"
12276,Φωτιστικό εξέτασης / θεραπείας
12282,Χειρουργικό φωτιστικό
12291,"Λαπαροσκόπιο, άκαμπτο, οπτικό"
12292,"Σωλήνας, λαρυγγεκτομής"
12294,Λαρυγγοστροβοσκόπιο
12304,"Μονάδα έκπλυσης, οδοντιατρική"
12313,Λουτρό κάτω άκρων
12318,Εξακτήρας φακού
12326,"Φακόμετρο, χειροκίνητο, ηλεκτρικού ρεύματος"
12330,"Σύστημα ανύψωσης ασθενούς, κινητό, μπαταρίας"
12351,"Οδοντιατρικό φώς, γενικής χρήσης"
12352,"Οδοντιατρικό φώς, ενδοστοματικό, οπτικής ίνας"
12377,Λιθόμετρο
12379,Λιθοτρίπτης
12391,"Καταγραφέας δεδομένων ασθενούς, μεγάλης διάρκειας καταγραφής, τάσης"
12404,Τυποποιημένη συσκευασία οσφυϊκής παρακέντησης
12408,"Προσομοιωτής, πνευμόνων"
12442,Οφθαλμικός μαρκαδόρος
12463,Τυποποιημένη συσκευασία θηλασμού
12500,Ιατρικός σάκκος
12501,Θήκη ιατρικού διαγράμματος ασθενούς
12505,"Κυπέλιο, φαρμάκων, μιας χρήσεως"
12506,Σταγονόμετρο φαρμάκου
12507,Δίσκος φαρμάκων
12516,"Ανιχνευτής μετάλλων, μαγνητικός"
12518,"Ανιχνευτής μετάλλων, φωτογραφικός"
12519,"Ανιχνευτής μετάλλων, υπερηχητικός"
12524,Μητροδιαστολέας
12534,Μικροχειριστήριο
12535,Κάλυμμα μικροσκοπίου
12542,"Τυποποιημένη συσκευασία δειγματοληψίας ούρων, κατά το μέσο της ούρησης"
12551,Καθρέπτης μαιευτικής
12552,"Καθρέπτης, στάσης σώματος"
12554,"Τέντα φαρμακευτικής αγωγής / θεραπείας, για ενήλικα"
12557,"Τέντα χορήγησης οξυγόνου, προσώπου"
12570,Βελούδινο /Βαμβακερό κολλώδες ύφασμα
12585,Συναγερμός κατοχής κλίνης
12590,"Αναλυτής, αερίων αίματος, οξυγόνου"
12609,Σύστημα οφθαλμικής κινητικής ανάλυσης
12662,"Μόνιτορ παρακολούθησης ασθενούς, αναπνοής"
12678,"Μόνιτορ παρακολούθησης ασθενούς, παροχής αέρα"
12692,Μυογράφος
12695,Νυχοκόπτης
12696,Εξολκέας ορθοπαιδικών οστικών ήλων
12699,"Μπαλόνι, ρινικό"
12709,Ρινολαρυγγοσκόπιο
12710,Ρινοσκόπιο
12716,"Σύστημα νεφελοποίησης, θερμαινόμενο"
12719,"Σύστημα νεφελοποίησης, υπερήχων"
12726,Συσκευή συγκράτησης βελόνας
12727,Εισαγωγέας βελόνας
12732,"Βελόνα, αεραγωγού"
12734,"Βελόνα, βιοψίας, γενικής χρήσης, μίας χρήσεως"
12739,"Βελόνα, χολαγγειογραφίας"
12740,"Βελόνα οδοντιατρικής σύριγγας, μιας χρήσης"
12741,"Βελόνα, αιμοκάθαρσης"
12745,"Βελόνα, υποδερμική, μιας χρήσεως"
12747,"Βελόνα, ενδαρτηριακή"
12750,"Βελόνα, πνευμοπεριτοναϊκή, με ελατήριο, μιας χρήσεως"
12779,Φιάλη τροφοδοσίας βρέφους
12796,Οσφρησιόμετρο
12799,Συσκευή cardiointegraph (CIG)
12800,Ογκόμετρο
12804,Οφθαλμοδιαφανοσκόπιο
12805,Οφθαλμοδιαστημόμετρο
12810,Οφθαλμολευκοσκόπιο
12811,Κερατόμετρο
12817,"Οφθαλμοσκόπιο, άμεσο"
12820,Οφθαλμοτροπόμετρο
12821,Οπτόμετρο (οπτότυπο)
12822,Οπτομυόμετρο
12825,Γλυφίδα πορτοκαλιάς
12839,Παλμογράφος
12844,Ορθοπαιδικός οστεοτόμος
12846,Οστεοτόμος πλαστικής χειρουργικής
12849,"Ωτοσκόπιο, άμεσο"
12855,Τυποποιημένη συσκευασία χορήγησης οξυγόνου
12873,"Συμπυκνωτής οξυγονοθεραπείας, σταθερός"
12875,"Σωλήνωση, χορήγησης οξυγόνου"
12893,"Τέντα χορήγησης οξυγόνου, ενηλίκου"
12913,"Βηματοδότης, εμφυτεύσιμος"
12935,Επίθεμα πρόσκρουσης
12950,"Αλγησιόμετρο, πίεσης"
12955,"Τυποποιημένη συσκευασία Παπανικολάου, επιχρίσματος"
12963,"Ερμάριο, διελεύσεως (pass through)"
12980,Πυελόμετρο
12990,"Μέσο διάτρησης αμνιακής μεμβράνης, επαναχρησιμοποιήσιμο"
12991,Μέσο διάτρησης λοβού αυτιού
12996,Τυποποιημένη συσκευασία έκπλυσης περινέου
13017,Φωνοκαρδιογράφος
13039,Γλυφίδα μέσου ωτός ΩΡΛ
13056,"Πληθυσμογράφος, τμηματικός, άκρων του σώματος"
13085,Πολυγράφος
13088,"Λουτρό, ολόσωμο, φορητό"
13090,Διάγραμμα στάσεων σώματος
13100,"Εγχυτής πίεσης, χειροκίνητος"
13116,"Κάλυμμα θερμομέτρου, ηλεκτρονικού ανιχνευτή"
13120,Ανιχνευτής δακρυγόνου πόρου
13180,Εργαλείο εμφύτευσης ορθοπαιδικών προθέσεων
13187,Σύστημα ανάλυσης οδοντιατρικού πολφού
13201,"Αντλία, χρωστικής αραίωσης"
13209,Αντλία εντερικής διατροφής
13215,"Αντλία έγχυσης, γενικής χρήσης"
13217,"Σύριγγα, αντλίας"
13220,"Μονάδα μέτρησης καρδιακής απόδοσης, με αντλία έγχυσης/απόσυρσης"
13235,Κορικογράφος
13236,"Κορικομετρητής, ηλεκτρικού ρεύματος"
13274,Καταγραφέας βίντεο με κασέτα μαγνητοταινίας
13287,Γλύφανο
13314,Συναγερμός ψυγείου
13316,"Ψυγείο, νεκροτομείου"
13318,"Θερμοανταλλάκτης, τοπικής διαπότισης"
13356,Προστατευτικό περιοριστικό κινήσεων χρήστη αναπηρικού αμαξιδίου
13366,"Συσκευή ανάνηψης, πνευμονική, αεριοκίνητη "
13369,"Συγκρατητήρας, επιδέσμου"
13371,"Συγκρατητήρας, σπλαγχνικός"
13372,Σκιασκόπιο
13375,"Χειρουργικό άγκιστρο κοιλιακό, χειρολαβής"
13380,Χειρουργικό άγκιστρο οδοντιατρικό
13381,Οφθαλμικός ελκτήρας
13384,"Χειρουργικό άγκιστρο πεταλεκτομής, αυτοσυγκρατούμενο"
13387,"Χειρουργικό άγκιστρο πλαστικής χειρουργικής, αυτοσυγκρατούμενο"
13388,Χειρουργικό άγκιστρο ορθικό
13391,"Χειρουργικό άγκιστρο θωρακικό, αυτοσυγκρατούμενο"
13392,"Χειρουργικό άγκιστρο κολπικό, αυτοσυγκρατούμενο"
13393,Χειρουργικό άγκιστρο αγγειακό
13399,Κόπτης δακτυλίου
13414,Τολύπιο  βάμβακος
13418,Ρονζέρ νευροχειρουργικό
13425,Σκαρπέλο κοπής οστού
13457,Ζυγός νεκροψίας
13459,Ζυγός μέτρησης αίματος
13472,Σκαριφητήρας
13481,"Ψαλίδι, επιδέσμου"
13482,"Ψαλίδι, καρδιαγγειακό"
13486,"Οφθαλμικό ψαλίδι,  κερατοειδούς"
13487,"Οφθαλμικό ψαλίδι,  εξόρυξης"
13488,Οφθαλμική ιριδοψαλίδα
13489,"Οφθαλμικό ψαλίδι,  ραμμάτων"
13490,"Οφθαλμιατρικό ψαλίδι, τενοντοτομίας"
13492,Ψαλίδι ανατομίας
13495,"Ψαλίδι, ρινικό"
13496,"Ψαλίδι, νευροχειρουργικό"
13500,"Ψαλίδι, πλαστικής χειρουργικής"
13501,"Ψαλίδι, ορθικό"
13502,"Ψαλίδι, ραμμάτων"
13504,"Ψαλίδι, θωρακικό"
13507,Σκληροτόμος
13509,Κοχλιάριο χολολήθου
13514,Διαχωριστικό πέτασμα κλίνης
13527,"Στολή καθαρισμού χειρουργείου, επαναχρησιμοποιήσιμη"
13532,Ανιχνευτής μαστοειδούς
13538,"Αισθητήρας, οξυγόνου"
13543,Διαχωριστής πυλωρού
13544,Διαχωριστής δακτύλου ποδιού
13551,Ακονιστής μαχαιριού
13552,Ακονιστής βελόνας
13565,"Προστατευτικό κάλυμμα, κάλου"
13570,"Προστατευτικό κάλυμμα, τραύματος"
13575,"Ποδονάριο, αγώγιμο"
13576,"Υπόδημα, μονωτικό"
13578,"Υπόδημα, αγώγιμο"
13583,Τυποποιημένη συσκευασία σαβάνου
13586,Αρτηριοφλεβική παράκαμψη
13589,Παράκαμψη  περιτονιοφλεβική
13607,Καρέκλα υδροθεραπείας λουτρού sitz
13609,"Λουτρό υδροθεραπείας Sitz, τροφοδοτούμενο"
13614,"Κόπτης πλέγματος δερματικού μοσχεύματος, διαστολέας πλέγματος"
13620,"Περίβλημα οξυγονοθεραπείας, τοπικό"
13622,Αναρτήρας βραχίονα
13623,Αναρτήρας γονάτου
13624,Αναρτήρας κάτω άκρου
13629,"Τυποποιημένη συσκευασία έκτακτης ανάγκης, για δάγκωμα δηλητηριώδους φιδιού"
13634,"Κάλτσα, κατάγματος"
13635,"Κάλτσα, κολοβώματος (υπολειπόμενου άκρου)"
13637,Λεκάνη διαλύματος
13643,"Μήλη ουρηθρική, επαναχρησιμοποιήσιμη"
13644,"Μήλη ενδομητρική, επαναχρησιμοποιήσιμη"
13671,Σφυγμογράφος
13673,Σανίδα σπονδυλικής στήλης
13680,"Σπειρόμετρο, διαγνωστικό"
13692,"Λεκάνη σπόγγου, επαναχρησιμοποιήσιμη"
13693,Σχάρα καταμέτρησης κομπρεσσών/ σπόγγων
13698,"Σπόγγος, χειρουργικής τομής"
13700,"Σπόγγος, γάζας"
13701,"Σπόγγος, μικροβιοκτόνος"
13702,"Σπόγγος, νευρολογικής χειρουργικής"
13704,Οφθαλμικός σπόγγος
13705,"Σπόγγος, ακτινοσκιερός"
13708,Διαχωριστής γύψου
13709,"Διαχωριστής πλευρών, αυτοσυγκρατούμενος"
13725,Λουτρό ατμού φυσιοθεραπείας
13730,Δοχείο αποστείρωσης
13732,"Δείκτης αποστείρωσης, βιολογικός"
13735,"Συσκευασία αποστείρωσης, μιας χρήσης"
13740,"Συσκευή αποστείρωσης, αερίου, αιθυλενοξειδίου"
13754,"Στηθοσκόπιο, ηλεκτρονικό"
13755,"Στηθοσκόπιο, μηχανικό"
13756,Στηθοσκόπιο υπερήχων
13763,Σύστημα βελονισμού ηλεκτρικής διέγερσης
13796,Κάλυμμα καθίσματος εργασίας
13810,Ιμάντας κλείδας
13818,"Φορείο, φορητό"
13836,"Στυλίσκος, βελόνας"
13839,Στυλίσκος ουρολογικού καθετήρα
13846,Τυποποιημένη συσκευασία αναρρόφησης
13886,Χειρουργική γάζα
13892,Τυποποιημένη συσκευασία ράμματος
13894,Τυποποιημένη συσκευασία αφαίρεσης ράμματος
13898,"Ράμμα ζωικό, απλό"
13899,"Ράμμα, κολλαγόνου"
13900,Ράμμα βαμβακερό
13902,Ράμμα λινό
13904,"Χειρουργικό ράμμα από ανοξείδωτο ατσάλι, πολύκλωνο"
13905,"Ράμμα, νάιλον"
13906,Ράμμα πολυεστέρα
13907,Ράμμα πολυαιθυλενίου
13908,Ράμμα πολυγλυκολικού οξέος
13909,Ράμμα πολυπροπυλενίου
13910,"Ράμμα μεταξωτό, αποστειρωμένο"
13912,Μάκτρο ιατρικό
13913,Μάκτρο αντισηπτικό
13946,"Μέσο συγκράτησης, εν είδει T"
